,Word,Valence,Arousal,Dominance
206,affect,5.65,3.61,6.39
207,affection,7.89,5.64,6.6
208,affectionate,7.23,4.77,6.9
209,affidavit,4.38,3.73,4.04
210,affiliation,5.32,3.9,5.3
211,affinity,5.86,4.29,6.55
212,affirmation,5.95,3.95,6.53
213,affirmative,5.94,3.64,6.78
214,affliction,3.76,5.1,4.17
215,afford,6.56,4.33,6.44
216,affordable,7.52,4.11,6.16
217,affront,4.53,4.5,5.04
218,afire,6.05,5.41,4.38
219,afloat,5.57,4.13,4.96
220,aforementioned,5.21,3.5,4.96
221,afraid,2.25,5.12,2.71
222,african,6.42,4.11,5.8
223,afterlife,5.53,4.32,5.86
224,aftermath,4.29,5.38,4.23
225,afternoon,6.68,3.48,5.71
226,aftershave,5.55,3.5,5.81
227,age,5.78,3.71,4.67
228,agency,5.14,3.17,4.89
229,agenda,5.05,3.62,5.36
230,agent,5.23,3.43,5.65
231,aggravate,2.55,5.9,4.85
232,aggravation,2.48,5.35,4.45
233,aggression,3.18,5.69,4.65
234,aggressive,3.08,5.87,5.49
235,aggressiveness,3.58,6.43,5.21
236,aggressor,2.8,6.55,4.57
237,agile,5.95,4.95,6.09
238,agility,6.55,4.21,6.41
239,aging,3,3.8,3.06
240,agitate,3.36,5.82,4.55
241,agitation,2.84,4.75,3.29
242,aglow,5.84,4.83,5.59
243,agonizing,2.68,6.71,4.04
244,agony,2.46,5.78,4
245,agree,7.17,3.62,6.94
246,agreeable,6.9,3.55,6.97
247,agreement,6.75,4.05,6.48
248,agricultural,5.5,3.55,5.74
249,agriculture,6.1,3.05,6
250,ahoy,5.58,3.95,5.45
251,aid,6.29,4.55,5.95
252,aide,5.6,4,7.05
253,aids,3.52,3.75,4.88
254,AIDS,1.33,5,3.55
255,ailing,2.95,4.52,4.15
256,ailment,3,3.68,3.14
257,aim,5.95,4,6.5
258,air,6.71,3.25,5.72
259,airbag,5.4,3.64,4.81
260,airborne,5.25,3.52,4.48
261,aircraft,6.3,4.86,5.71
262,aircraft carrier,5.25,4.64,5.85
263,airfield,5.74,4.38,4.82
264,airhead,4.1,4.3,4.19
265,airline,5.36,4.12,4.92
266,airliner,6.05,4,4.25
267,airlock,4.85,4.23,5
268,airplane,5.25,5.62,4.12
269,airport,6,5.5,5.79
270,airship,5.63,4.88,4.43
271,airspace,5.5,4.4,4.91
272,airspeed,4.95,4.33,5.24
273,airstrip,4.76,3.83,5.1
274,airtight,5.1,3.3,4.76
275,airway,4.95,4,3.95
276,aisle,5.17,2.5,4.87
277,ajar,5,3.26,5.28
278,aka,4.63,3.39,4.4
279,alabaster,5.5,3.95,5.35
280,alarm,3.86,6.85,6.58
281,alarm clock,3.47,5.36,4.82
282,alarming,3.52,6.5,4.05
283,albatross,5.68,3.09,4.91
284,albino,4.9,3.09,4.05
285,album,6.19,5.63,5.86
286,alcohol,4.11,5.17,4
287,alcoholic,2.49,5.48,3.27
288,alcoholism,2,5,3
289,alcove,5.5,3.32,5.33
290,alderman,4.44,3.05,5.04
291,ale,5.95,4.1,5.17
292,alert,5.38,5.14,6.58
293,alfalfa,4.79,3.67,5.73
294,algebra,5.4,4.6,4.54
295,algorithm,5.3,3.7,4.04
296,alias,5,4.71,5.94
297,alibi,4.16,4.5,5.17
298,alien,4.45,4.86,3.56
299,alienate,2.79,4.27,3.71
300,alienation,2.53,5.14,3.33
301,alight,5.67,3.86,5.88
302,align,5.95,3.32,5.95
303,alignment,6,3.92,6.32
304,alimony,3.86,3.09,4.32
305,alive,6.57,5.93,6.77
306,allegation,3.26,5.9,3.96
307,alleged,3.62,5.09,4.27
308,allegiance,5.8,5.17,7.05
309,allegro,5,3.89,5.36
310,allergic,3,5.4,3.81
311,allergy,2.9,3.9,3.5
312,alleviate,6.25,3.45,5.84
313,alley,4.17,4.08,4.63
314,alleyway,3.46,3.7,5.2
315,alliance,6.14,4.4,5.78
316,allied,5.95,3.38,5.4
317,alligator,4.23,5.36,4.1
318,allow,6.39,2.95,6.11
319,allowance,6.74,4.05,5.7
320,alloy,5.2,3.32,5.9
321,allure,6.9,4.25,5.77
322,alluring,6.74,4.35,5.86
323,ally,6.05,4.8,6.84
324,almanac,5.55,3.24,5.88
325,almighty,6.15,4.59,5.81
326,almond,6.05,2.89,6.46
327,aloha,7.1,3.82,6.33
328,alone,3.85,4,4.5
329,aloof,4.59,3.09,4.63
330,alpha,5.5,3.67,6.32
331,alphabet,5.95,3.15,5.79
332,alphabetical,6.32,3,6.14
333,alpine,5.84,3.52,5.74
334,altar,5.59,4.05,5.68
335,altar boy,4.76,3.11,4.62
336,alter,4.57,4.17,5.57
337,alteration,5.05,4.05,6.15
338,altercation,3.61,5.62,4.4
339,alternate,5.15,3.48,5.2
340,alternating,5.37,4.27,5.53
341,alternative,5.33,3.61,6.33
342,altimeter,4.5,3.61,5
343,altitude,5.27,4.15,5.46
344,aluminum,5.1,4.05,6
345,alumnus,4.95,3.23,6.1
346,alzheimers,2.26,4.5,2
347,amaretto,6,4.04,5.19
348,amateur,4.58,3.55,5.25
349,amaze,7.24,5,5.83
350,amazed,7.55,5.95,6.11
351,amazement,7.29,6.3,6.43
352,amazing,7.72,6.05,6.83
353,ambassador,5.5,3.91,6.2
354,amber,6.15,3.36,6.21
355,ambience,6.35,3.85,5.57
356,ambient,6.33,3.2,4.86
357,ambiguous,5.16,4,5.12
358,ambition,7.28,4.86,6.36
359,ambitious,6.33,5.76,5.88
360,ambrosia,5.95,4.05,5.67
361,ambulance,3.71,5.33,3.29
362,ambush,3.17,5.58,3.96
363,amend,5.85,3.06,4.96
364,amendment,5.6,3.5,4.77
365,amends,6.68,3.95,5.96
366,amiable,6.7,2.85,6.14
367,amino,4.45,3.83,5.73
368,ammo,4.18,5.53,5.52
369,ammonia,3.74,3,3.83
370,ammonium,4.06,4.37,4.84
371,ammunition,4.59,5.7,5.95
372,amnesia,3.43,5.04,3.08
373,amnesty,5.38,3.86,6
374,amorous,5.95,4.21,6
375,amount,5.42,3.53,5.39
376,amour,6.43,5.43,5.91
377,amp,5.79,5.05,5.13
378,amphibian,5.4,3.35,5.42
379,amphibious,5.75,5.7,4.85
380,ample,5.89,3.28,6.04
381,amputate,2.1,5.43,3
382,amputation,1.84,4.86,2.85
383,amuck,4,4.41,3.74
384,amulet,5.75,3.95,5.79
385,amuse,7.1,5.17,6.8
386,amused,7.05,4.27,5.93
387,amusement,7,4.82,6.59
388,amusing,7.6,5.18,6.79
389,anaconda,4.43,6,4.08
390,anagram,4.37,3.86,4.83
391,anal,4,4.29,4.45
392,analogy,5.24,3.95,5.33
393,analysis,5.25,3.74,5.95
394,analyst,5,3.24,4.76
395,analytical,6,4.13,6.43
396,analyze,5.65,4.1,5.96
397,analyzer,4.62,3.48,5.88
398,anaphylactic,4,5.57,4.17
399,anarchist,2.76,4.16,4.57
400,anarchy,3.68,4.86,3.1
401,anatomy,6.29,4.43,5.95
402,ancestor,6.37,3.73,4.81
403,ancestral,6.6,3.6,5.05
404,ancestry,6.29,3.71,4.16
405,anchor,5.16,3.32,5.29
406,anchorage,5.09,3.82,5.8
407,ancient,7.24,3.48,4.86
408,android,5.62,3.5,5.75
409,anecdote,5.62,4.65,6
410,anemia,3.05,4.09,3.55
411,anemic,3.45,3.45,3.14
412,anesthesia,4.84,3.64,2.95
413,anesthesiologist,4.95,3.56,3.68
414,anesthetic,5.48,3.23,4.72
415,aneurysm,2.5,5.38,2.7
416,angel,7.71,4.24,5.9
417,angelic,6.68,4.27,6.32
418,anger,2.5,5.93,5.14
419,angina,2.85,4.72,4
420,angiogram,4.19,3.61,4.28
421,angle,4.55,3.22,5.27
422,angora,5.63,2.95,5
423,angry,2.53,6.2,4.11
424,angst,3.5,5.76,3.62
425,anguish,3.14,5.41,4.27
426,anguished,2.78,4.79,2.88
427,animal,7.06,4.3,5.72
428,animated,6.65,5.77,6.71
429,animation,6.42,5.52,5.16
430,animosity,3.4,5.83,5.04
431,ankle,5.4,3.11,5.58
432,anklet,4.75,3.57,5.08
433,annals,4.8,2.6,4.95
434,annex,4.41,4,5.26
435,annihilate,3.15,6.44,4.62
436,annihilation,2.58,5.52,3.2
437,anniversary,6.95,4,6.86
438,announce,5.52,3.65,5.48
439,announcement,5.81,4.3,5.05
440,announcer,5.84,4.5,4.07
441,annoy,2.49,5.04,4.64
442,annoyance,2.95,4.1,3.45
443,annoyed,2.8,5.29,4.08
444,annoying,3,5.55,3.28
445,annual,5.19,3.7,4.9
446,annul,3.83,4.23,4.9
447,annulment,4.05,4.14,4.15
448,anointed,4.79,3.32,5.18
449,anomaly,4.84,4.25,4.26
450,anonymity,4.81,3.29,5.88
451,anonymous,5.75,4.13,5.48
452,anorexic,2.71,4.24,3.43
453,answer,6.1,4,5.95
454,ant,3.9,3.27,5.3
455,antagonistic,4.32,4.11,4.41
456,antagonize,3.15,4.95,4
457,antelope,5.68,4.46,5.57
458,antenna,5.43,3.15,5.67
459,anterior,4.89,3.36,4.64
460,anthem,5.95,4.48,6.29
461,anthill,4.32,4.63,4.76
462,anthrax,2.32,4.72,2.71
463,anthropological,5.53,3.82,5.14
464,anthropologist,5.7,3.27,5.19
465,anthropology,5.3,2.91,6
466,anti,4.47,4.23,5.05
467,antiaircraft,4.85,4.6,4.73
468,antibiotic,5.88,4.05,5.72
469,antibiotics,5.05,4.05,5.11
470,antichrist,2.36,5.58,4.39
471,anticipate,6,5.7,5.36
472,anticipation,5.26,5.39,5.53
473,antics,3.95,5.1,5.24
474,antidote,6.55,3.24,6.08
475,antigravity,5.74,5.1,3.77
476,antiquated,5,4.95,4.69
477,antique,6.5,4,5.79
478,antiques,6.63,3.68,5.17
479,antiseptic,4.57,3.15,4.77
480,antisocial,3.21,5.32,5.33
481,antsy,4.36,5.23,3.85
482,anus,2.9,4.39,4.96
483,anvil,5.05,4.4,5.38
484,anxiety,2.38,4.78,3.39
485,anxious,3.8,6.2,4.15
486,anytime,5.81,4.6,5.32
487,aorta,4.35,3.64,4.37
488,aortic,4.25,3.5,4.58
489,apache,5.2,3.7,4.95
490,apartment,5.72,3.8,5.33
491,apartments,5,3.28,5.18
492,apathy,3.68,3.8,5.15
493,ape,5.21,4.25,5.38
494,apex,5.52,3.48,5.17
495,aphrodisiac,6.43,5.96,5.04
496,apocalypse,3.24,5.04,2.65
497,apologetic,6.65,4,5
498,apologize,4.94,3.52,4.22
499,apology,6.24,4,5.1
500,apostle,5.5,4.38,4.71
501,apothecary,5.48,4.23,5.35
502,appalled,3.62,4.91,4.11
503,appalling,2.95,5.5,4.55
504,apparatus,5.5,4,5.14
505,apparel,5.38,4.3,6.19
506,apparent,4.96,3.19,6.4
507,apparition,4.85,4.82,4.38
508,appeal,6.3,3.57,5.36
509,appear,5.25,3.24,5.36
510,appearance,6.14,4.57,5.9
511,appease,5.95,3.55,5.59
512,appendage,4.23,4.35,5.32
513,appendectomy,2.95,6.14,3.59
514,appendicitis,1.86,5.12,2.71
515,appendix,4.81,2.92,4.25
516,appetite,6.23,5.37,5.57
517,appetizer,7.29,4.52,6.36
518,appetizing,7,4.82,6.18
519,applaud,6.7,5.05,5.91
520,applause,7.12,5.38,6.56
521,apple,6.62,3.52,6.44
522,apple juice,7.3,3.2,6
523,applejack,5.79,3.8,5.74
524,applesauce,6.9,2.78,6.39
525,appliance,5.15,2.84,5
526,applicant,4.91,3.96,5.08
527,application,5.05,4.52,4.3
528,apply,5.16,3.24,6.2
529,appoint,5.95,4.25,5.65
530,appointment,4.43,4.8,6.68
531,appraisal,5.09,4.09,5.65
532,appreciate,7.33,3.1,7
533,appreciation,7.3,4.68,6.63
534,appreciative,7.14,4.35,6.9
535,apprehend,4.14,5.13,4.48
536,apprehension,4.15,4.23,5.07
537,apprehensive,3.32,4.77,4.64
538,apprentice,5.95,3.59,5.05
539,approach,5.45,4.48,6.03
540,appropriate,6.1,4.04,5
541,approval,6.75,3.52,6.63
542,approve,7,4.09,7.26
543,approximate,5.26,3.82,4.95
544,apricot,5.95,4.29,5.94
545,apron,5.8,2.9,5.28
546,apt,5.64,4.05,5.95
547,aptitude,5.95,4.55,5.45
548,aqua,6.5,3.6,4.82
549,aquamarine,6.4,3.9,4.95
550,aquarium,6.43,4.3,6.14
551,aquatic,6.8,3.58,4.53
552,arbitrary,4.15,4.55,4.77
553,arbitration,4.09,4.41,4.19
554,arcade,6.45,6.1,6.81
555,arcane,5.25,3.61,5.55
556,arch,5.8,3.15,5.45
557,archaeological,6.05,4.52,5.18
558,archaeologist,5.42,4.14,5.17
559,archaeology,6.1,3.86,5.26
560,archaic,4.5,4.38,4.62
561,archangel,7.27,4.19,4.79
562,archbishop,4.71,3.78,4.73
563,archdiocese,3.95,3.41,4.04
564,archduke,4.15,3.56,5.73
565,archery,5.25,4.39,5.73
566,architect,6.21,3.25,6.05
567,architectural,6.32,4.05,5.18
568,architecture,6.05,4.39,5.67
569,archive,4.81,4.18,5.24
570,arctic,4.45,3.88,5
571,ardent,4.95,4.62,5.32
572,area,5.56,2.19,5.06
573,arena,5.75,4.23,6.04
574,argue,3.15,6.67,4.77
575,argument,2.62,5.22,5.65
576,argumentative,3.2,5.61,4
577,arise,6.17,4.76,5.87
578,aristocracy,5.21,4.15,5.08
579,aristocrat,4.28,3.6,4.94
580,aristocratic,5.79,3.18,4.43
581,arithmetic,4.95,4,5.54
582,ark,6.15,3.52,5.88
583,arm,5.44,3.44,6.02
584,armada,4.6,3.29,5.6
585,armament,5.05,4.65,5.37
586,armchair,5.67,2.75,5.79
587,armed,4.11,6.3,5.68
588,armor,6.1,3.29,6.3
589,armored,5.67,3.52,5.7
590,armory,5.25,4.48,5.74
591,armpit,4.1,3.57,5.24
592,army,4.65,4.49,4.65
593,aroma,7.65,4.35,6.06
594,arouse,6.67,6.21,6.1
595,aroused,5.95,7.3,5.58
596,arraignment,3.91,4.6,5.33
597,arrange,5.15,3.57,6.71
598,arrangement,5.71,3,5.5
599,array,5.9,3.71,5.62
600,arrest,2.33,6.86,3.11
601,arrhythmia,3.86,4.95,4.25
602,arrival,6.67,3.6,6.53
603,arrive,6.41,5,6.84
604,arrogance,2.55,4.65,5
605,arrogant,2.52,5.15,4.64
606,arrow,5.24,3.91,5.53
607,arsenal,4.45,5.48,5.25
608,arsenic,3,4.7,3.46
609,arson,2.26,5.41,3.78
610,arsonist,2.5,6.95,3.42
611,art,6.85,4.48,6.02
612,arterial,3.95,3.39,4.12
613,artery,4.29,4.09,4.78
614,arthritis,2.32,4.27,2.63
615,artichoke,5.3,3.5,5.48
616,article,5.68,3.5,5.68
617,articulate,6.55,4.27,6.89
618,artifact,6.2,4.95,5.73
619,artificial,3.86,4.17,4.55
620,artillery,4.1,4.56,4.64
621,artist,6.76,4.1,6.95
622,artiste,6.33,3,5.35
623,artistic,7,5,6.86
624,artistry,6.91,4.71,7.43
625,artwork,6.76,4.18,6.33
626,arty,6.55,5.53,5.48
627,asbestos,2.24,4.38,3.05
628,ascend,6.19,4.13,5.58
629,ascendant,5.29,3.23,5.78
630,ascending,5.14,3.73,5.55
631,ascension,5.77,5.36,5.45
632,ascertain,5.3,3.17,6.29
633,ashamed,2.52,5.65,4.63
634,ashtray,3.52,3.48,5.56
635,asinine,5.05,4.63,4.81
636,ask,5.95,3.48,6.29
637,asleep,6.5,2,4.33
638,asparagus,5.43,2.73,5.67
639,aspect,4.89,3.39,4.76
640,aspen,6.57,4.11,5.5
641,asphalt,4.46,3.2,4.62
642,asphyxia,2.19,6.14,2.4
643,asphyxiation,1.53,6.91,2.54
644,aspiration,6.26,5,5.94
645,aspire,6.43,3.68,6.85
646,aspirin,5.3,3.35,5.12
647,aspiring,6.89,4.41,6.85
648,ass,5.45,5.43,3.61
649,assailant,3.24,5.7,3
650,assassin,2.11,5.82,3.36
651,assassinate,3.27,6.38,3.23
652,assassination,1.83,6.2,4
653,assault,2.05,6.8,3.49
654,assemble,5.14,3.52,6.28
655,assembly,5.47,3.95,4.82
656,assemblyman,5,3.12,5.21
657,assert,5.68,4.64,5.93
658,assertive,5.37,5.55,6.04
659,assess,5.84,3.45,5.21
660,assessment,5.22,2.75,5.44
661,asset,7.25,4.43,6
662,asshole,2.11,6.38,2.89
663,assign,4.75,3.71,5.74
664,assignment,5.39,4.45,6
665,assimilate,4.63,4.15,5.15
666,assist,5.95,3.76,6.41
667,assistance,5.82,3.82,6.45
668,assistant,5.91,4.8,6.37
669,associate,5.2,3.11,4.88
670,association,5.5,3.67,6.14
671,assorted,5.82,3.52,5.41
672,assortment,5.64,3.88,5.79
673,assume,4.41,4.2,6.21
674,assumption,4.3,4.14,5.03
675,assurance,5.95,2.81,6.07
676,assure,6.33,3.1,6.52
677,asterisk,5.38,2.78,5.72
678,asteroid,4.95,5.6,3.68
679,asthma,2.45,4.5,3.54
680,asthmatic,3.33,3.38,3.84
681,astonish,5.55,5.38,6
682,astonished,6.42,5.73,4.87
683,astonishing,6.53,5.77,5.23
684,astound,6.3,5.05,5.56
685,astral,5.32,5.13,5.26
686,astrology,4.79,4.18,4.67
687,astronaut,6.73,4.4,5.32
688,astronomer,5.59,5.42,5.33
689,astronomical,6.37,5,5.14
690,astronomy,6,4.33,5.21
691,astute,6.22,3.16,6
692,asylum,3.24,5.55,3.52
693,atheist,4.64,4.76,5.41
694,athlete,6.21,4.75,5.96
695,athletic,6.76,5,6.11
696,athletics,6.14,4.93,6.15
697,atlas,5.95,2.5,5.7
698,atmosphere,6.05,4,4.86
699,atmospheric,5.72,4.09,5.11
700,atoll,5.14,3.55,4.7
701,atom,5.74,4.29,5.39
702,atomic,4.26,5.85,3.96
703,atone,5.6,4,5.65
704,atrium,5.95,3.57,5.22
705,atrocious,3.14,4.12,4.35
706,atrocity,2.95,5,2.96
707,atrophy,3.16,3.86,4
708,attach,5.26,3.81,4.7
709,attachment,6,2.96,6.32
710,attack,2,7.05,3.39
711,attacker,2.23,7.27,4.26
712,attain,5.85,3.11,7.08
713,attempt,6,4.94,5.67
714,attempted,5.35,3.64,6.52
715,attend,5.4,3.5,6.7
716,attendance,5.95,4.24,5.59
717,attendant,5.63,3.14,5.09
718,attention,6.68,4.05,6.47
719,attentive,6.43,4.37,6.62
720,attest,5.1,3.68,6.26
721,attic,4.95,3.45,5.36
722,attire,6.16,3.95,5.78
723,attitude,4.72,4.76,5.88
724,attorney,3.67,4.8,5.53
725,attract,6.38,5.35,5.6
726,attraction,7,5.4,4.62
727,attractive,7.19,4.91,6.81
728,attribute,5.67,4.12,6
729,auburn,5.89,3.62,5.61
730,auction,5.43,4.5,5.33
731,auctioneer,5.09,4,5.37
732,audacious,5.11,4.28,5.41
733,audacity,5.2,4.1,5.33
734,audible,6.05,4.45,6.26
735,audience,5.89,4.91,5.14
736,audio,6.56,4.29,5.96
737,audit,2.82,5.78,3.68
738,audition,5.2,4.24,6
739,auditor,3.26,3.7,5.2
740,auditorium,6.05,4.45,5.05
741,auditory,5.05,4.5,6.11
742,aunt,6.56,2.71,4.28
743,auntie,6.24,3.58,5.79
744,aura,6.45,4.7,5.65
745,auspicious,4.76,3.39,5.5
746,authentic,6.91,4.55,6.58
747,authenticate,5.1,4.36,5.78
748,authenticity,6.81,4.42,6.23
749,author,6.33,2.73,6.38
750,authority,4.76,5.35,5.19
751,authorization,5.86,4.32,4.77
752,authorize,5.37,4.67,6.54
753,autism,3.2,4.1,3.12
754,autistic,3.62,4.24,2.43
755,auto,5,4.95,5.7
756,autobiographical,4.82,3.74,5.89
757,autobiography,5.79,2.85,6.5
758,autograph,6.21,3.55,6.1
759,autographed,6.14,4.65,6.42
760,automated,4.74,4.05,4.5
761,automatic,6.05,3.7,5.27
762,automobile,5.45,3.91,6
763,automotive,5.37,4.5,5.38
764,autonomy,5.05,4.09,6.19
765,autopilot,5.65,4.11,3.72
766,autopsy,2.62,4.36,3.22
767,autumn,7.12,3.21,5.17
768,auxiliary,5.26,3.61,5.81
769,avail,5.42,3.77,6
770,availability,5.68,4.38,5.5
771,available,6.86,4.04,6.59
772,avalanche,4,6.55,3.24
773,avenge,4.05,6.35,5.92
774,avenging,4.89,6.1,6.55
775,avenue,5.74,3.3,5.18
776,average,4.89,3.29,5.59
777,aversion,4,5.14,4.81
778,avert,5.16,3.62,5.22
779,aviation,5.9,4.05,5.62
780,aviator,6.39,4.67,6.13
781,avid,5.74,4.32,5.71
782,avocado,6.32,4.05,5.22
783,avoid,4.1,3.92,4.81
784,avoidance,3.35,4.95,4.88
785,await,5.33,2.91,4.71
786,awake,6.76,5.5,6.68
